Schema,Table,Column,Value
sqli_2_2,flagTable_this,idx,1
sqli_2_2,flagTable_this,idx,2
sqli_2_2,flagTable_this,idx,3
sqli_2_2,flagTable_this,idx,4
sqli_2_2,flagTable_this,idx,5
sqli_2_2,flagTable_this,idx,6
sqli_2_2,flagTable_this,idx,7
sqli_2_2,flagTable_this,idx,8
sqli_2_2,flagTable_this,idx,9
sqli_2_2,flagTable_this,idx,10
sqli_2_2,flagTable_this,idx,11
sqli_2_2,flagTable_this,idx,12
sqli_2_2,flagTable_this,idx,13
sqli_2_2,flagTable_this,idx,14
sqli_2_2,flagTable_this,idx,15
sqli_2_2,flagTable_this,idx,16
sqli_2_2,flagTable_this,idx,17
sqli_2_2,flagTable_this,flag,hello
sqli_2_2,flagTable_this,flag,What are you looking for?
sqli_2_2,flagTable_this,flag,hahahahaha
sqli_2_2,flagTable_this,flag,Funnnyyyyyyy
sqli_2_2,flagTable_this,flag,hahahahaha
sqli_2_2,flagTable_this,flag,Funnnyyyyyyy
sqli_2_2,flagTable_this,flag,gogogo
sqli_2_2,flagTable_this,flag,moremoremoremore
sqli_2_2,flagTable_this,flag,I will Not Give you flag
sqli_2_2,flagTable_this,flag,Get Away
sqli_2_2,flagTable_this,flag,kkkkkkk
sqli_2_2,flagTable_this,flag,-_-
sqli_2_2,flagTable_this,flag,breeeeeg
sqli_2_2,flagTable_this,flag,segfault{manyData_youFind}
sqli_2_2,flagTable_this,flag,kakakakakaka
sqli_2_2,flagTable_this,flag,I gave you flag
sqli_2_2,flagTable_this,flag,go home
sqli_2_2,member,id,normaltic
sqli_2_2,member,pass,81dc9bdb52d04dc20036dbd8313ed05
sqli_2_2,member,name,normaltic
sqli_2_2,member,info,normal
sqli_2_2,flagTable_this,idx,1
sqli_2_2,flagTable_this,idx,2
sqli_2_2,flagTable_this,idx,3
sqli_2_2,flagTable_this,idx,4
sqli_2_2,flagTable_this,idx,5
sqli_2_2,flagTable_this,idx,6
sqli_2_2,flagTable_this,idx,7
sqli_2_2,flagTable_this,idx,8
sqli_2_2,flagTable_this,idx,9
sqli_2_2,flagTable_this,idx,10
sqli_2_2,flagTable_this,idx,11
sqli_2_2,flagTable_this,idx,12
sqli_2_2,flagTable_this,idx,13
sqli_2_2,flagTable_this,idx,14
sqli_2_2,flagTable_this,idx,15
sqli_2_2,flagTable_this,idx,16
sqli_2_2,flagTable_this,idx,17
sqli_2_2,flagTable_this,flag,hello
